,Unnamed: 0,Fahrzeugklasse,Fahrzeugart_Code,Fahrzeugart,Marken_Code,Marke,Marke_und_Typ,Typ1,Typ2,Typ3,Typ4,Typengenehmigungs-Nr,Typengenehmigungs-Nr_Zusatz,Karosserieform_Code,Karosserieform,Farbe,Farbe_Zusatz,Sitzplätze,Sitzplätze_vorne,Stehplätze,Leergewicht,Nutzlast,Gesamtgewicht,Gesamtzugsgewicht,Anhängelast,Dachlast,Tankinhalt_Aufbaus,Hubraum,Zylinder,Leistung,Motorkennzeichen,Treibstoff_Code,Treibstoff,CO2,Emissionscode,Energieeffizienzkategorie,Getriebe_Code,Getriebe,Getriebe_Detailcode,Antrieb_Code,Antrieb,Achsen,Erstinverkehrsetzung_Jahr,Erstinverkehrsetzung_Monat,Erstinvekehrsetzung_Kanton,Erstinverkehrsetzung_Staat,Gebrauchtcode,Ersterfassung_Jahr,Ersterfassung_Monat,Schildfarbe_Code,Schildfarbe,Schildart_Code,Schildart,Inverkehrsetzung_Status_Code,Inverkehrsetzung_Kanton,PLZ,Ort,BFS-Gemeinde-Nr,Staat_Code,Staat,Halterart_Code,Halterart,Besondere_Verwendung_Code,Besondere_Verwendung,Unnamed: 63,Marke_harm,Type_harm,Luxury,Marke_Typ_harm
7029,1563216,M1,1,Personenwagen,4023,ford,ford kuga 1.5 scti 4x4,kuga 1.5 scti 4x4,kuga,1.5,SCTi 4x4,1FJ866,,163,Limousine,Grau,,5,2,0,1756,444,2200,0,1850,75,0,1498,4,134.0,M9MA,B,Benzin,171.0,B6b,G,A,Automat,A6,A,Allrad,2,2017,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1083,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
7183,1558064,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FJ614,,163,Limousine,Schwarz,Metallic,5,2,0,1778,452,2230,0,0,75,0,1997,4,103.0,UFMA,D,Diesel,162.0,B5b,F,M,Mechanisch,M6A,A,Allrad,2,2014,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6616,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
7543,1568397,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FK313,,163,Limousine,Braun,Metallic,5,2,0,1788,442,2230,0,2100,75,0,1997,4,132.0,T8MA,D,Diesel,134.0,B6b,D,M,Mechanisch,M6A,A,Allrad,2,2017,9,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2087,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
7677,1555719,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FJ869,,163,Limousine,Grau,,5,2,0,1788,442,2230,0,2100,75,0,1997,4,110,T7MA,D,Diesel,140.0,B6b,E,M,Mechanisch,M6A,A,Allrad,2,2015,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,297,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
7699,1559979,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FJ869,,163,Limousine,Grau,Metallic,5,2,0,1788,442,2230,0,0,75,0,1997,4,110.0,T7MA,D,Diesel,140.0,B6b,D,M,Mechanisch,M6A,A,Allrad,2,2015,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6742,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
7700,1562436,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FJ868,,163,Limousine,Schwarz,Metallic,5,2,0,1773,477,2250,0,0,75,0,1997,4,110.0,T7MA,D,Diesel,135.0,B6b,C,M,Mechanisch,M6,A,Allrad,2,2016,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,261,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
7836,1557019,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FJ614,,163,Limousine,Schwarz,,5,2,0,1778,452,2230,0,0,75,0,1997,4,103.0,UFMA,D,Diesel,162.0,B5b,F,M,Mechanisch,M6A,A,Allrad,2,2014,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,623,CH,Schweiz,2,weiblich,,,,ford,KUGA,x,ford - KUGA
7941,1557839,M1,1,Personenwagen,6026,ford,ford kuga 2.0 tdci,kuga 2.0 tdci,kuga,2.0,TDCI,,X,163,Limousine,Grau,,5,2,0,1778,452,2230,0,0,50,0,1997,4,120.0,,D,Diesel,162.0,B5b,,M,Mechanisch,M6A,A,Allrad,2,2014,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1061,CH,Schweiz,2,weiblich,,,,ford,KUGA,x,ford - KUGA
7979,1560094,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FJ870,,163,Limousine,Grau,Metallic,5,2,0,1788,442,2230,0,2100,75,0,1997,4,132.0,T8MA,D,Diesel,140.0,B6b,D,M,Mechanisch,M6A,A,Allrad,2,2015,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5586,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
8004,1691706,M1,1,Personenwagen,4023,ford,ford kuga 2.0tdci 4x4,kuga 2.0tdci 4x4,kuga,2.0tdci,4x4,1FH969,,163,Limousine,Schwarz,Metallic,5,2,0,1672,488,2160,0,2100,75,0,1997,4,120,TXDA,D,Diesel,179.0,B5a,G,M,Mechanisch,M6A,A,Allrad,2,2010,9,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6416,CH,Schweiz,2,weiblich,,,,ford,KUGA,x,ford - KUGA
8360,1569216,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FK313,,163,Limousine,Weiss,,5,2,0,1788,442,2230,0,0,75,0,1997,4,132.0,T8MA,D,Diesel,134.0,B6b,D,M,Mechanisch,M6A,A,Allrad,2,2018,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2550,CH,Schweiz,3,juristisch,,,,ford,KUGA,x,ford - KUGA
8479,1555669,M1,1,Personenwagen,4023,ford,ford kuga 2.0 tdci 4x4,kuga 2.0 tdci 4x4,kuga,2.0,TDCi 4x4,1FJ868,,163,Limousine,Weiss,,5,2,0,1773,477,2250,0,0,75,0,1997,4,110.0,T7MA,D,Diesel,135.0,B6b,D,M,Mechanisch,M6,A,Allrad,2,2014,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,62,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
8559,1686761,M1,1,Personenwagen,4023,ford,ford kuga 2.0tdci 4x4,kuga 2.0tdci 4x4,kuga,2.0tdci,4x4,1FH767,,163,Limousine,Schwarz,Metallic,5,2,0,1613,517,2130,0,2100,75,0,1997,4,100.0,,D,Diesel,169.0,B04,G,M,Mechanisch,M6,A,Allrad,2,2008,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6641,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
8627,1696974,M1,1,Personenwagen,4023,ford,ford kuga 2.5 4x4,kuga 2.5 4x4,kuga,2.5,4x4,1FJ103,,163,Limousine,Weiss,,5,2,0,1675,455,2130,0,0,75,0,2521,5,147.0,HYDC,B,Benzin,234.0,B5a,G,M,Mechanisch,M6,A,Allrad,2,2012,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2579,CH,Schweiz,2,weiblich,,,,ford,KUGA,x,ford - KUGA
8780,1697213,M1,1,Personenwagen,4023,ford,ford kuga 2.0tdci 4x4,kuga 2.0tdci 4x4,kuga,2.0tdci,4x4,1FH972,,163,Limousine,Weiss,,5,2,0,1742,418,2160,0,2100,75,0,1997,4,103.0,UFDA,D,Diesel,179.0,B5a,G,M,Mechanisch,M6A,A,Allrad,2,2012,8,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3256,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
8815,1570569,M1,1,Personenwagen,4023,ford,ford kuga 1.5 scti 4x4,kuga 1.5 scti 4x4,kuga,1.5,SCTI 4x4,1FK308,,163,Limousine,Weiss,,5,2,0,1756,444,2200,0,0,75,0,1498,4,134.0,M9MA,B,Benzin,171.0,B6b,G,A,Automat,A6,A,Allrad,2,2018,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6621,CH,Schweiz,2,weiblich,,,,ford,KUGA,x,ford - KUGA
8853,1691422,M1,1,Personenwagen,4023,ford,ford kuga 2.0tdci 4x4,kuga 2.0tdci 4x4,kuga,2.0tdci,4x4,1FH767,,163,Limousine,Grau,Metallic,5,2,0,1613,517,2130,0,0,75,0,1997,4,100.0,G 6 D G,D,Diesel,169.0,B04,G,M,Mechanisch,M6,A,Allrad,2,2010,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6621,CH,Schweiz,1,männlich,,,,ford,KUGA,x,ford - KUGA
9618,1698970,M1,1,Personenwagen,4023,ford,ford kuga 2.0tdci 4x4,kuga 2.0tdci 4x4,kuga,2.0tdci,4x4,1FJ438,,163,Limousine,Weiss,,5,2,0,1742,418,2160,0,0,75,0,1997,4,103.0,UFDA,D,Diesel,179.0,B5b,G,M,Mechanisch,M6A,A,Allrad,2,2012,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6153,CH,Schweiz,2,weiblich,,,,ford,KUGA,x,ford - KUGA
561,1576964,M1,1,Personenwagen,4023,ford,ford maverick 3.0 4x4,maverick 3.0 4x4,maverick,3.0,4x4,1FH265,,163,Limousine,Schwarz,,5,2,0,1640,435,2075,0,1700,45,0,2967,6,145.0,,B,Benzin,293.0,B03,G,A,Automat,A4,A,Allrad,2,2003,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2121,CH,Schweiz,1,männlich,,,,ford,MAVERICK,x,ford - MAVERICK
7542,1579199,M1,1,Personenwagen,4023,ford,ford maverick 2.3 4x4,maverick 2.3 4x4,maverick,2.3,4x4,1FH451,,163,Limousine,Blau,Metallic,5,2,0,1615,408,2023,0,1500,45,0,2261,4,110.0,,B,Benzin,237.0,B04,G,M,Mechanisch,M5,A,Allrad,2,2007,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2937,CH,Schweiz,1,männlich,,,,ford,MAVERICK,x,ford - MAVERICK
267,2004771,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1XJ275,,161,Stationswagen,Weiss,,5,2,0,1643,432,2075,0,0,80,0,1997,4,114.0,,B,Benzin,177.0,B5b,G,M,Mechanisch,M6,A,Allrad,2,2015,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5646,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
1049,2015303,M1,1,Personenwagen,5024,honda,honda cr-v 1.6hp i-dtec,cr-v 1.6hp i-dtec,cr-v,1.6hp,i-DTEC,1HA458,,161,Stationswagen,Schwarz,,5,2,0,1761,439,2200,0,0,80,0,1597,4,118.0,N16A4,D,Diesel,139.0,B6b,D,A,Automat,A9,A,Allrad,2,2016,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,198,CH,Schweiz,4,unbekannt,,,,honda,CR-V,x,honda - CR-V
1282,2003202,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1HA301,,163,Limousine,Schwarz,,5,2,0,1569,481,2050,0,0,80,0,1997,4,110.0,R20A2,B,Benzin,192.0,B04,G,M,Mechanisch,M6,A,Allrad,2,2008,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2701,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
1760,1891728,M1,1,Personenwagen,7101,honda,honda cr-v,cr-v,cr-v,nan,,1HA192,,163,Limousine,Grün,,5,2,0,1515,415,1930,0,0,60,0,1973,4,108.0,,B,Benzin,236.0,B02,G,M,Mechanisch,M5,A,Allrad,2,2000,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5561,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
1928,2011681,M1,1,Personenwagen,5024,honda,honda cr-v i-dtec,cr-v i-dtec,cr-v,i-dtec,,1HA395,,161,Stationswagen,Schwarz,,5,2,0,1773,427,2200,0,0,80,0,2199,4,110.0,N22B4,D,Diesel,154.0,B5b,D,M,Mechanisch,M6,A,Allrad,2,2013,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,401,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
2032,2003394,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1HA301,,163,Limousine,Grau,,5,2,0,1569,481,2050,0,0,80,0,1997,4,110.0,,B,Benzin,192.0,B04,G,M,Mechanisch,M6,A,Allrad,2,2009,8,Kanton,,,,,0.0,Weiss,K,Kantonsbefristet,I,Kanton_Kürzel,PLZ,Gemeinde,1630,PL,Polen,2,weiblich,,,,honda,CR-V,x,honda - CR-V
2253,2012931,M1,1,Personenwagen,5024,honda,honda cr-v 1.6hp i-dtec,cr-v 1.6hp i-dtec,cr-v,1.6hp,i-DTEC,1HA457,,161,Stationswagen,Weiss,,5,2,0,1761,439,2200,0,0,80,0,1597,4,118.0,N16A4,D,Diesel,134.0,B6b,D,A,Automat,A9,A,Allrad,2,2016,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1061,CH,Schweiz,3,juristisch,,,,honda,CR-V,x,honda - CR-V
3181,2011350,M1,1,Personenwagen,5024,honda,honda cr-v i-dtec,cr-v i-dtec,cr-v,i-dtec,,1HA395,,161,Stationswagen,Weiss,Metallic,5,2,0,1773,427,2200,0,2000,80,0,2199,4,110.0,N22B4,D,Diesel,154.0,B5b,E,M,Mechanisch,M6,A,Allrad,2,2013,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,619,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
3430,2001656,M1,1,Personenwagen,5024,honda,honda cr-v,cr-v,cr-v,nan,,1HA275,,163,Limousine,Grau,,5,2,0,1597,423,2020,0,1500,40,0,1998,4,110.0,,B,Benzin,221.0,B04,G,M,Mechanisch,M5,A,Allrad,2,2005,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,199,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
3450,2007573,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1HA301,,163,Limousine,Grau,,5,2,0,1604,476,2080,0,0,80,0,1997,4,110.0,,B,Benzin,192.0,B04,G,M,Mechanisch,M6,A,Allrad,2,2008,8,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,54,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
3741,2003048,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1HA301,,163,Limousine,Rot,,5,2,0,1569,481,2050,0,0,80,0,1997,4,110.0,,B,Benzin,192.0,B04,G,M,Mechanisch,M6,A,Allrad,2,2007,8,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3276,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
3786,2010213,M1,1,Personenwagen,5024,honda,honda cr-v ctdi-dpf,cr-v ctdi-dpf,cr-v,ctdi-dpf,,1HA299,,163,Limousine,Grau,,5,2,0,1687,473,2160,0,2000,80,0,2204,4,103.0,N22A2,D,Diesel,173.0,B04,G,M,Mechanisch,M6,A,Allrad,2,2007,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5077,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
3892,1999670,M1,1,Personenwagen,5024,honda,honda cr-v,cr-v,cr-v,nan,,1HA262,,163,Limousine,Rot,,5,2,0,1555,375,1930,0,0,40,0,1998,4,110.0,,B,Benzin,216.0,B03,G,M,Mechanisch,M5,A,Allrad,2,2002,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2206,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
3942,2012549,M1,1,Personenwagen,5024,honda,honda cr-v 2.2 ctdi,cr-v 2.2 ctdi,cr-v,2.2,CTDI,1HA339,,161,Stationswagen,Schwarz,,5,2,0,1782,438,2220,0,1500,80,0,2199,4,110.0,,D,Diesel,195.0,B5a,G,A,Automat,A5,A,Allrad,2,2010,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6621,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
5114,2014724,M1,1,Personenwagen,5024,honda,honda cr-v 2.2 i-dtec,cr-v 2.2 i-dtec,cr-v,2.2,i-DTEC,1HA435,,161,Stationswagen,Schwarz,,5,2,0,1831,419,2250,0,0,80,0,2199,4,110.0,N22B4,D,Diesel,180.0,B5b,G,A,Automat,A5,A,Allrad,2,2015,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4821,CH,Schweiz,3,juristisch,,,,honda,CR-V,x,honda - CR-V
5633,2005628,M1,1,Personenwagen,3611,honda,honda cr-v,cr-v,cr-v,nan,,,X,163,Limousine,Schwarz,,5,2,0,1604,476,2080,0,0,80,0,1997,4,110.0,,B,Benzin,195.0,B04,,A,Automat,A5,A,Allrad,2,2009,3,Kanton,Frankreich,A,2018.0,12.0,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3025,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
5688,2015437,M1,1,Personenwagen,5024,honda,honda cr-v 1.6hp i-dtec,cr-v 1.6hp i-dtec,cr-v,1.6hp,i-DTEC,1HA458,,161,Stationswagen,Schwarz,,5,2,0,1761,439,2200,0,0,80,0,1597,4,118.0,N16A4,D,Diesel,139.0,B6b,D,A,Automat,A9,A,Allrad,2,2017,8,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3340,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
5853,2001368,M1,1,Personenwagen,5024,honda,honda cr-v,cr-v,cr-v,nan,,1HA275,,163,Limousine,Grau,,5,2,0,1597,423,2020,0,0,40,0,1998,4,110.0,,B,Benzin,221.0,B04,G,M,Mechanisch,M5,A,Allrad,2,2005,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,951,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
5965,1891485,M1,1,Personenwagen,7101,honda,honda cr-v,cr-v,cr-v,nan,,1HA133,,163,Limousine,Grau,,5,2,0,1480,420,1900,0,0,50,0,1973,4,94.0,,B,Benzin,236.0,B02,G,M,Mechanisch,M5,A,Allrad,2,1998,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4471,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
5976,2008516,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1HA454,,161,Stationswagen,Weiss,,5,2,0,1665,435,2100,0,0,80,0,1997,4,114.0,R20A9,B,Benzin,179.0,B6b,G,A,Automat,A5,A,Allrad,2,2015,9,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1367,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
6118,2012428,M1,1,Personenwagen,5024,honda,honda cr-v 2.2 ctdi,cr-v 2.2 ctdi,cr-v,2.2,CTDi,1HA339,,161,Stationswagen,Grau,,5,2,0,1782,438,2220,0,1500,80,0,2199,4,110.0,n22b3,D,Diesel,195.0,B5a,G,A,Automat,A5,A,Allrad,2,2012,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,738,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
6644,2001843,M1,1,Personenwagen,5024,honda,honda cr-v ctdi,cr-v ctdi,cr-v,ctdi,,1HA278,,163,Limousine,Schwarz,,5,2,0,1692,448,2140,0,0,40,0,2204,4,103.0,,D,Diesel,177.0,B04,G,M,Mechanisch,M6,A,Allrad,2,2005,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,227,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
6788,2008599,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1HA454,,161,Stationswagen,Blau,,5,2,0,1665,435,2100,0,0,80,0,1997,4,114.0,,B,Benzin,179.0,B6b,G,A,Automat,A5,A,Allrad,2,2017,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,197,CH,Schweiz,2,weiblich,,,,honda,CR-V,x,honda - CR-V
6794,1891538,M1,1,Personenwagen,7101,honda,honda cr-v,cr-v,cr-v,nan,,1HA133,,163,Limousine,Grün,,5,2,0,1480,420,1900,0,0,50,0,1973,4,94.0,,B,Benzin,236.0,B02,G,M,Mechanisch,M5,A,Allrad,2,1998,12,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1701,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
6989,2010793,M1,1,Personenwagen,5024,honda,honda cr-v 1.6hp i-dtec,cr-v 1.6hp i-dtec,cr-v,1.6hp,i-DTEC,1HA460,,161,Stationswagen,Grau,Metallic,5,2,0,1744,426,2170,0,2000,80,0,1597,4,118.0,N16A4,D,Diesel,129.0,B6b,B,M,Mechanisch,M6,A,Allrad,2,2016,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6156,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
7217,1999245,M1,1,Personenwagen,5024,honda,honda cr-v,cr-v,cr-v,nan,,1HA262,,163,Limousine,Blau,,5,2,0,1555,375,1930,0,0,40,0,1998,4,110.0,K20A4,B,Benzin,216.0,B03,G,,,M5,A,Allrad,2,2004,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,158,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
8226,2008183,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1HA391,,161,Stationswagen,Grau,,5,2,0,1663,437,2100,0,0,80,0,1997,4,114.0,R20A9,B,Benzin,179.0,B5b,G,A,Automat,A5,A,Allrad,2,2013,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6621,CH,Schweiz,3,juristisch,,,,honda,CR-V,x,honda - CR-V
8357,2014015,M1,1,Personenwagen,5024,honda,honda cr-v i-dtec,cr-v i-dtec,cr-v,i-dtec,,1HA393,,161,Stationswagen,Rot,,5,2,0,1829,421,2250,0,0,80,0,2199,4,110.0,N22B4,D,Diesel,180.0,B5b,G,A,Automat,A5,A,Allrad,2,2012,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,243,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
8560,2013634,M1,1,Personenwagen,5024,honda,honda cr-v 2.2 i-dtec,cr-v 2.2 i-dtec,cr-v,2.2,i-DTEC,1HA435,,161,Stationswagen,Grau,,5,2,0,1831,419,2250,0,0,80,0,2199,4,110.0,N22B4,D,Diesel,180.0,B5b,G,A,Automat,A5,A,Allrad,2,2014,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,82,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
9577,2005274,M1,1,Personenwagen,5024,honda,honda cr-v 2.0i,cr-v 2.0i,cr-v,2.0i,,1HA301,,163,Limousine,Grau,,5,2,0,1604,476,2080,0,0,80,0,1997,4,110.0,R20A2,B,Benzin,195.0,B04,G,,,A5,A,Allrad,2,2007,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,351,CH,Schweiz,1,männlich,,,,honda,CR-V,x,honda - CR-V
5109,1856382,M1,1,Personenwagen,7101,honda,honda hr-v 1.6 i-dtec,hr-v 1.6 i-dtec,hr-v,1.6,i-DTEC,1HA471,,161,Stationswagen,Schwarz,Metallic,5,2,0,1395,475,1870,0,0,75,0,1597,4,88.0,N16A3,D,Diesel,108.0,B6b,B,M,Mechanisch,M6,V,Vorderrad,2,2017,7,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,980,CH,Schweiz,2,weiblich,,,,honda,HR-V,x,honda - HR-V
6268,1922423,M1,1,Personenwagen,7101,honda,honda hr-v 4wd,hr-v 4wd,hr-v,4wd,,1HA222,,163,Limousine,Schwarz,,4,2,0,1365,295,1660,0,0,50,0,1590,4,77.0,,B,Benzin,201.0,B03,G,S,Stufenlos,S,A,Allrad,2,2003,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6455,CH,Schweiz,3,juristisch,,,,honda,HR-V,x,honda - HR-V
6438,1932779,M1,1,Personenwagen,7101,honda,honda hr-v 1.5i,hr-v 1.5i,hr-v,1.5i,,1HA532,,161,Stationswagen,Schwarz,,5,2,0,1320,470,1790,0,0,75,0,1498,4,96.0,L15B4,B,Benzin,122.0,B6d,E,S,Stufenlos,S,V,Vorderrad,2,2018,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3001,CH,Schweiz,3,juristisch,,,,honda,HR-V,x,honda - HR-V
